recording_id,source_zip,path,label,subtype,person,recording_number,usable,trim_method,search_start_s,trim_start_s,trim_end_s,trimmed_duration_s,peak_time_s,peak_acc_mag,original_start_s,original_end_s,original_duration_s,original_acc_rows,trimmed_acc_rows,notes
Fall_Backward_Lukas1,Fall_Backward_Lukas1.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_backward\lukas\Fall_Backward_Lukas1.zip,fall,backward,lukas,1,yes,peak_centered_fall,5.0,5.7049,13.7049,8.0,8.7049,76.173888,0.0508,18.2181,18.1672,910,401,Automatically preprocessed from Sensor Logger export.
Fall_Backward_Lukas10,Fall_Backward_Lukas10.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_backward\lukas\Fall_Backward_Lukas10.zip,fall,backward,lukas,10,yes,peak_centered_fall,5.0,5.6189,13.6189,8.0,8.6189,142.63877,0.0661,19.21,19.1438,959,401,Automatically preprocessed from Sensor Logger export.
Fall_Backward_Lukas2,Fall_Backward_Lukas2.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_backward\lukas\Fall_Backward_Lukas2.zip,fall,backward,lukas,2,yes,peak_centered_fall,5.0,4.2948,12.2948,8.0,7.2948,96.980778,0.0805,18.2261,18.1456,909,401,Automatically preprocessed from Sensor Logger export.
Fall_Backward_Lukas3,Fall_Backward_Lukas3.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_backward\lukas\Fall_Backward_Lukas3.zip,fall,backward,lukas,3,yes,peak_centered_fall,5.0,3.5006,11.5006,8.0,6.5006,119.794022,0.0658,16.6922,16.6264,833,401,Automatically preprocessed from Sensor Logger export.
Fall_Backward_Lukas4,Fall_Backward_Lukas4.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_backward\lukas\Fall_Backward_Lukas4.zip,fall,backward,lukas,4,yes,peak_centered_fall,5.0,3.9177,11.9177,8.0,6.9177,102.176633,0.0634,17.9685,17.9051,897,401,Automatically preprocessed from Sensor Logger export.
Fall_Backward_Lukas5,Fall_Backward_Lukas5.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_backward\lukas\Fall_Backward_Lukas5.zip,fall,backward,lukas,5,yes,peak_centered_fall,5.0,4.4595,12.4595,8.0,7.4595,77.541528,0.0657,19.9091,19.8433,994,401,Automatically preprocessed from Sensor Logger export.
Fall_Backward_Lukas6,Fall_Backward_Lukas6.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_backward\lukas\Fall_Backward_Lukas6.zip,fall,backward,lukas,6,yes,peak_centered_fall,5.0,9.7157,17.7157,8.0,12.7157,84.711355,0.0656,25.4256,25.36,1270,401,Automatically preprocessed from Sensor Logger export.
Fall_Backward_Lukas7,Fall_Backward_Lukas7.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_backward\lukas\Fall_Backward_Lukas7.zip,fall,backward,lukas,7,yes,peak_centered_fall,5.0,3.9697,11.9697,8.0,6.9697,77.020795,0.0554,17.481,17.4256,873,401,Automatically preprocessed from Sensor Logger export.
Fall_Backward_Lukas8,Fall_Backward_Lukas8.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_backward\lukas\Fall_Backward_Lukas8.zip,fall,backward,lukas,8,yes,peak_centered_fall,5.0,4.7595,12.7595,8.0,7.7595,81.490144,0.066,19.01,18.944,949,401,Automatically preprocessed from Sensor Logger export.
Fall_Backward_Lukas9,Fall_Backward_Lukas9.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_backward\lukas\Fall_Backward_Lukas9.zip,fall,backward,lukas,9,yes,peak_centered_fall,5.0,8.6357,16.6357,8.0,11.6357,116.876561,0.0656,21.1476,21.0821,1056,401,Automatically preprocessed from Sensor Logger export.
Fall_Backward_Polina1,Fall_Backward_Polina1.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_backward\polina\Fall_Backward_Polina1.zip,fall,backward,polina,1,yes,peak_centered_fall,5.0,5.3252,13.3252,8.0,8.3252,15.582404,0.0749,15.8735,15.7986,789,398,Automatically preprocessed from Sensor Logger export.
Fall_Backward_Polina10,Fall_Backward_Polina10.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_backward\polina\Fall_Backward_Polina10.zip,fall,backward,polina,10,yes,peak_centered_fall,5.0,5.5749,13.5749,8.0,8.5749,17.651135,0.0642,18.8665,18.8023,938,397,Automatically preprocessed from Sensor Logger export.
Fall_Backward_Polina11,Fall_Backward_Polina11.zip,C:\Users\lukas\GitHub\ML_Fall_Detection\data\raw\fall_backward\polina\Fall_Backward_Polina11.zip,fall,backward,polina,11,yes,peak_centered_fall,5.0,4.4613,12.4613,8.0,7.4613,20.388403,0.0708,15.0308,14.96,748,399,Automatically preprocessed from Sensor Logger export.
