,importance
acc_y_mean,0.08381337877511516
acc_mag_range,0.05958982324110918
acc_mag_max,0.04913933924899476
acc_y_peak,0.045269236371825367
acc_x_range,0.04430537889757193
acc_mag_peak,0.04241591020985565
gravity_z_mean,0.0352644801337788
gravity_y_median,0.03261424375706224
acc_mag_std,0.029549175809638735
gravity_y_rms,0.027830253047014343
acc_y_max,0.02445331085096804
gravity_z_peak,0.022968679952531153
gravity_z_median,0.021434879270268242
gravity_y_mean,0.020941865794232354
acc_z_min,0.019019863023415608
gyro_mag_median,0.01866145065341165
acc_x_peak,0.018232484591399062
acc_mag_median,0.017966871559871284
acc_mag_mean,0.017100043003708307
gyro_mag_min,0.016361299829793043
acc_z_rms,0.015776305305116735
acc_x_std,0.015548047168793561
gravity_z_max,0.015259460887664618
acc_mag_rms,0.015109412527362786
acc_x_rms,0.014169547784107702
gyro_mag_range,0.013944496639923006
acc_z_max,0.012891073844225649
gravity_z_range,0.012807677845304212
acc_z_peak,0.012489166181350477
gravity_z_std,0.012177852277986958
gravity_y_range,0.011353669287761088
acc_x_min,0.01098052797778223
gyro_mag_mean,0.010756994810213916
gyro_x_mean,0.010450801117142442
gyro_y_min,0.010251207815816317
gyro_mag_std,0.009988477380204539
gyro_mag_max,0.0097617896893449
gravity_y_peak,0.009361418924864466
acc_z_std,0.009233171243738592
acc_y_rms,0.00802500154609209
gyro_mag_peak,0.007551371023445359
gravity_y_max,0.007467742439907265
gyro_x_rms,0.0066362248435151315
gravity_x_min,0.005869644859763742
gravity_z_rms,0.005415616388591702
gravity_x_median,0.005303037120970584
acc_z_range,0.0052680653333826676
acc_y_range,0.0046124302925967565
gravity_y_std,0.004292163763256303
acc_y_std,0.004269812777407326
gravity_z_min,0.00417820986558542
gyro_z_mean,0.00407921237043257
acc_mag_min,0.003973331169372288
gyro_x_max,0.0035275605107997305
acc_z_median,0.0031495642689853575
gyro_x_std,0.0030681976476787066
acc_x_max,0.0030626914005922943
gyro_y_mean,0.002963562707898546
gravity_x_range,0.0028456682997690264
gravity_x_std,0.0028248977255743496
gravity_x_rms,0.002141569428831529
gyro_z_rms,0.0020919053899025107
gyro_y_range,0.0019446097020604544
acc_y_min,0.0019185909522580838
gyro_y_std,0.001879634659046303
acc_z_mean,0.0017397418716155696
gyro_mag_rms,0.001710195668031671
gyro_x_median,0.001300641739353878
gravity_x_peak,0.001113239152509859
gyro_z_range,0.0009311251097924436
gravity_x_max,0.0008616610536532338
gyro_x_peak,0.0008107407017912876
gyro_x_range,0.0006492560594425121
acc_x_median,0.0005739484293936539
gravity_x_mean,0.000557664387466122
gyro_y_median,0.0004044743729491777
gyro_y_peak,0.00039648474685638284
gyro_z_max,0.00029881015715912246
acc_x_mean,0.0002660615435639259
gyro_y_rms,0.00025468322458430006
gyro_z_median,0.00024378376618695865
gyro_z_std,0.0002001144038085436
acc_y_median,8.399039385612611e-05
gravity_y_min,4.390450600199731e-18
gyro_x_min,3.7297969842955596e-18
gyro_z_peak,2.064198254412686e-18
gyro_z_min,1.2723099298336647e-18
gyro_y_max,0.0
