,importance
acc_z_rms,0.1304168046530248
acc_z_std,0.10066833675724757
acc_mag_std,0.07261966750788294
acc_mag_rms,0.06825024065624125
gyro_x_range,0.06822162183647956
gravity_z_std,0.06814547238687242
gyro_x_std,0.04083428812107243
gyro_x_rms,0.040201499625258326
gravity_z_rms,0.03836758070850659
acc_z_max,0.032914993342127205
acc_z_range,0.02965918964843866
gravity_z_range,0.029225808392355043
acc_z_peak,0.025445299629766452
acc_x_std,0.020421294409327974
gravity_y_median,0.015356394734339697
acc_x_rms,0.0151562162896738
acc_mag_mean,0.01453051191372982
gravity_z_min,0.014023045302288822
acc_x_range,0.013140242765474035
gravity_x_mean,0.012320015908026463
gravity_y_mean,0.011323863252927082
gyro_x_min,0.011074674165891347
acc_z_min,0.009528453810803146
gravity_y_range,0.008826374506076587
acc_z_median,0.007798741175867167
gravity_y_std,0.006725565610149278
acc_mag_range,0.006510086587968059
acc_mag_peak,0.0063023860831034895
gyro_z_min,0.00618571957056216
acc_y_mean,0.006098632239188325
gravity_x_min,0.0052234456531587104
gravity_z_max,0.004725546861420655
gyro_x_max,0.004401426262210245
gyro_x_mean,0.004256293421050197
gravity_x_peak,0.004230989540106659
gravity_x_range,0.004088776473485599
gravity_x_rms,0.003711428796589826
gyro_mag_max,0.003397011368544339
gravity_y_peak,0.003318203850310675
acc_x_min,0.002798439873997014
acc_mag_max,0.0027837955541099068
gravity_z_median,0.0021356340845762475
gravity_x_max,0.001979931033398966
gravity_x_median,0.0019790226624441243
gravity_y_max,0.001831793564829569
gyro_mag_mean,0.0015157114229396435
gyro_x_peak,0.0013483068654806295
gravity_z_peak,0.0012083466859283698
gravity_x_std,0.001117995386464818
gyro_mag_median,0.0010870192357482317
gyro_z_peak,0.0010865118580348388
acc_z_mean,0.001023205445746792
gyro_mag_range,0.000788580201471768
acc_y_peak,0.000759035515650676
acc_mag_median,0.0007130682648424419
gyro_z_mean,0.0006920654077624919
gyro_y_mean,0.0005190670038320551
gyro_y_min,0.0005172959701424076
gyro_z_median,0.0005122852457997366
acc_y_range,0.00046523971057999187
acc_x_max,0.0004567003879652403
gyro_z_range,0.0004262686157870646
acc_x_median,0.0004000758536536674
gyro_mag_min,0.0003939561061273887
gyro_z_rms,0.0003827225747254589
gyro_y_median,0.0003496382287129482
acc_y_rms,0.0003305904655857761
gravity_y_rms,0.0002738990450680687
acc_x_mean,0.0002668120844137677
gyro_y_max,0.00026418865004235664
gyro_y_rms,0.00026356660931269624
gyro_y_peak,0.00025217241217140795
acc_y_median,0.0002376411506380259
gyro_z_max,0.0001903512694927876
gravity_y_min,0.0001722677113556078
gravity_z_mean,0.00016579678626735476
acc_y_std,0.0001478891433724441
acc_y_min,0.0001388139429211888
gyro_mag_std,0.00010254524954955229
gyro_mag_peak,9.241038833512429e-05
gyro_z_std,8.47242341778959e-05
acc_x_peak,6.586287494203939e-05
gyro_y_std,3.261140405403166e-05
gyro_mag_rms,5.875880555508619e-18
gyro_x_median,2.889005498818783e-18
acc_mag_min,1.9316524711984788e-18
acc_y_max,0.0
gyro_y_range,0.0
