,importance
acc_mag_std,0.08554459534219287
acc_z_rms,0.076826040226234
acc_z_std,0.06765904430003551
acc_mag_rms,0.06354957051847752
gravity_z_std,0.05790622602107142
gravity_y_range,0.03954068612087934
gravity_z_rms,0.035542717204421585
acc_y_mean,0.030184709378107154
acc_mag_mean,0.029228988586848054
acc_z_range,0.028396514502529203
gravity_z_range,0.02799953876246268
acc_x_rms,0.025419356399842722
gravity_y_rms,0.02479869087716207
gyro_x_rms,0.022653468867984597
acc_x_range,0.021296972335867626
gravity_y_peak,0.020098658269974715
acc_x_std,0.02000145112330156
acc_mag_range,0.01978864090636368
gravity_y_mean,0.019224320636671784
acc_mag_median,0.019155462204963707
gyro_x_range,0.018219695079011687
gyro_x_std,0.016837838887419777
gravity_y_std,0.016775112485843263
gyro_mag_mean,0.01555314661843897
gravity_y_median,0.01365376490392559
acc_mag_max,0.013612997170681094
gyro_mag_median,0.01299409207824513
acc_x_min,0.011862229835926427
acc_z_max,0.011712898745666887
acc_z_peak,0.011444037150206015
acc_mag_peak,0.009205893123070087
acc_z_min,0.008092193414485978
acc_z_median,0.008034518744131794
gravity_y_max,0.008031046635567713
gyro_mag_min,0.008018201620131504
gravity_z_peak,0.006511480177420465
gyro_x_max,0.00638292478443665
gyro_mag_peak,0.006314621680381342
gravity_x_std,0.004560474718653236
gyro_x_mean,0.003842929807643533
gravity_x_max,0.0035681766812566762
gravity_x_range,0.0032827453794064933
gyro_x_min,0.0028723926069018552
gravity_x_mean,0.0027858483478992125
gyro_mag_range,0.0027122691029531553
gravity_x_rms,0.002520816734139463
gravity_y_min,0.0022592255063751156
gravity_z_min,0.0021420518596733827
gyro_y_range,0.0021173128971270798
gravity_z_mean,0.0020790169149843556
acc_x_peak,0.0019143718522286308
gyro_mag_max,0.0017976738502916657
gravity_x_peak,0.0015485444230910687
gyro_y_min,0.0013053971393614421
acc_x_max,0.0012572010485654588
gravity_z_max,0.0012445760462188517
gravity_x_median,0.00110850328894836
acc_y_peak,0.001044746448714262
gravity_z_median,0.0010001247361598458
acc_y_std,0.0009402248389615501
gyro_x_peak,0.0009121176414503764
gyro_y_mean,0.0008907693754315464
gyro_y_rms,0.0008872827695583923
gyro_y_peak,0.0008792719895419984
gyro_mag_std,0.0008096984648373172
gyro_y_median,0.0007173045463190117
acc_y_range,0.0007127478464514506
acc_y_min,0.0006764970321904578
gyro_y_std,0.0006729481730940405
gyro_z_peak,0.0006660788957056724
gyro_x_median,0.0006583729639063203
gyro_z_rms,0.0006407979060357455
acc_y_max,0.0005777475606012035
acc_y_median,0.0005721122939642269
gyro_z_min,0.0005487914915379312
acc_y_rms,0.0004889036470699808
acc_z_mean,0.0004817854490585212
gyro_y_max,0.00044367246230898405
gyro_mag_rms,0.00035707458964285026
gyro_z_max,0.0003159356660160863
acc_x_mean,0.00024373603372955397
gyro_z_mean,0.00019514814794569256
gravity_x_min,0.00019491354950558828
gyro_z_median,0.00017157519948294176
gyro_z_std,0.00013525938760667371
acc_mag_min,0.00010428452708176293
acc_x_median,4.4087328283301706e-05
gyro_z_range,2.4115111705549753e-05
